time_index,time_sec,sum_intensity,norm_sum_intensity,filtered_norm_sum_intensity,detrended_norm_sum_intensity,f0_baseline,df_f_signal,d_df_f_signal,is_onset,is_peak,onset_index,peak_id
0,0.0,587293.0,2004.4129692832764,2004.4129692832764,2004.4129692832764,1997.2819497883768,0.003570361958989,0.004355807916853,True,False,0.0,1.0
1,0.0040484,586742.0,2002.5324232081912,2004.4129692832764,2004.4481894585767,1997.2819497883768,0.0035879960117596,-0.1119304679648293,False,False,,
2,0.0080968,583501.0,1991.470989761092,2002.5324232081912,2002.602875368017,1997.2819497883768,0.0026640833459714,-0.6984291706168715,False,False,,
3,0.0121452,587382.0,2004.716723549488,1993.0477815699655,1993.153477527501,1997.2819497883768,-0.002067045296891,-0.6796445087656153,False,False,,
4,0.0161936,581197.0,1983.6075085324233,1991.470989761092,1991.611941333482,1997.2819497883768,-0.002838862312602,-0.2322229871804854,False,False,,
5,0.020242,582842.0,1989.221843003413,1989.221843003413,1989.3980620117648,1997.2819497883768,-0.003947308379494,-0.2345430441543455,False,False,,
6,0.0242904,583963.0,1993.0477815699655,1987.6075085324233,1987.8190068018084,1997.2819497883768,-0.0047379104325109,-0.136826728761247,False,False,,
7,0.0283388,582369.0,1987.6075085324233,1986.938566552901,1987.185355912355,1997.2819497883768,-0.005055167036928,-0.1397799263486097,False,False,,
8,0.0323872,582173.0,1986.938566552901,1985.2764505119453,1985.5585427944704,1997.2819497883768,-0.0058696805401703,-0.2016152917018587,False,False,,
9,0.0364356,581686.0,1985.2764505119453,1983.6075085324233,1983.924915574989,1997.2819497883768,-0.0066876057307796,-0.1013664084602962,False,False,,
10,0.040484,581185.0,1983.566552901024,1983.566552901024,1983.919286544569,1997.2819497883768,-0.0066904240761916,-0.2668259470754993,False,False,,
11,0.0445324,576369.0,1967.1296928327645,1979.221843003413,1979.6099150928464,1997.2819497883768,-0.0088480420590605,-0.4846251903165278,False,False,,
12,0.0485808,577688.0,1971.6313993174065,1975.6587030716723,1976.0821254558743,1997.2819497883768,-0.0106143373171465,-0.2607026475431391,False,False,,
13,0.0526292,578656.0,1974.9351535836176,1974.9351535836176,1975.393938115442,1997.2819497883768,-0.0109588992556878,-0.1114908123887823,False,False,,
14,0.0566776,578868.0,1975.6587030716723,1973.7849829351535,1974.2791414714277,1997.2819497883768,-0.011517056126896,-0.1843006290936741,False,False,,
15,0.060726,578319.0,1973.7849829351535,1971.8839590443688,1972.4135034458957,1997.2819497883768,-0.0124511445893335,-0.1287937488911543,False,False,,
16,0.0647744,577043.0,1969.4300341296928,1971.6313993174065,1972.1963414489655,1997.2819497883768,-0.0125598733529179,-0.147364434713024,False,False,,
17,0.0688228,579912.0,1979.221843003413,1969.4300341296928,1970.030385860043,1997.2819497883768,-0.0136443249443179,-0.2739912854454556,False,False,,
18,0.0728712,577762.0,1971.8839590443688,1967.1296928327645,1967.7654660346436,1997.2819497883768,-0.0147783259929127,-0.6049118234001354,False,False,,
19,0.0769196,574156.0,1959.5767918088736,1959.5767918088736,1960.247998359,1997.2819497883768,-0.0185421749960241,-0.7644620360440637,False,False,,
