time_index,time_sec,sum_intensity,norm_sum_intensity,filtered_norm_sum_intensity,detrended_norm_sum_intensity,f0_baseline,df_f_signal,d_df_f_signal,is_onset,is_peak,onset_index,peak_id
0,0.0,271738.0,1045.1461538461538,1045.1461538461538,1045.1461538461538,885.6647102438906,0.1800697733099762,0.0058922186541121,False,False,,
1,0.0039284,272197.0,1046.9115384615384,1045.1461538461538,1045.1666543199046,885.6647102438906,0.1800929203017371,-0.4158393899899018,False,False,,
2,0.0078568,270975.0,1042.2115384615386,1042.2115384615386,1042.2525394032778,885.6647102438906,0.1768026063907036,-0.7778763551033627,False,False,,
3,0.0117852,270320.0,1039.6923076923076,1039.6923076923076,1039.7538090962871,885.6647102438906,0.173981301354961,-1.138255135653445,False,False,,
4,0.0157136,268905.0,1034.25,1034.25,1034.3320018604427,885.6647102438906,0.1678595634409016,-2.1646713833329194,False,False,,
5,0.019642,266393.0,1024.5884615384616,1024.5884615384616,1024.690963849605,885.6647102438906,0.1569739112303909,-1.4682338674929447,False,False,,
6,0.0235704,266238.0,1023.9923076923076,1023.9923076923076,1024.1153104484038,885.6647102438906,0.156323943590783,-1.3842191844970593,False,False,,
7,0.0274988,263878.0,1014.9153846153846,1014.9153846153846,1015.0588878106706,885.6647102438906,0.1460983779416344,-1.4151719647107193,False,False,,
8,0.0314272,263667.0,1014.103846153846,1014.103846153846,1014.2678497825452,885.6647102438906,0.1452052204984439,-0.7767709086639876,False,False,,
9,0.0353556,262462.0,1009.4692307692308,1009.4692307692308,1009.6537348255948,885.6647102438906,0.1399954442664432,-1.2056879845823154,False,False,,
10,0.039284,261475.0,1005.6730769230768,1005.6730769230768,1005.8780814013578,885.6647102438906,0.1357323711411775,-2.930199934319347,False,False,,
11,0.0432124,255912.0,984.276923076923,989.0384615384615,989.2639664328824,885.6647102438906,0.1169734494224829,-3.0689347112859657,False,False,,
12,0.0471408,257150.0,989.0384615384615,984.276923076923,984.5229283817356,885.6647102438906,0.1116203649015459,-1.0348949793085025,False,False,,
13,0.0510692,255267.0,981.796153846154,981.796153846154,982.0626595555811,885.6647102438906,0.1088424865490518,-2.044176653142806,False,False,,
14,0.0549976,250470.0,963.3461538461538,970.0115384615384,970.2985445698324,885.6647102438906,0.0955596777731335,-2.0740239769753117,False,False,,
15,0.058926,252203.0,970.0115384615384,967.3230769230768,967.630583424475,885.6647102438906,0.0925472949667522,0.005892194646611,False,False,,
16,0.0628544,251504.0,967.3230769230768,970.0115384615384,970.3395453502782,885.6647102438906,0.095605971568033,0.9786938047282252,False,False,,
17,0.0667828,254654.0,979.4384615384616,974.0923076923076,974.4408149626264,885.6647102438906,0.1002366964517409,0.8449335814580028,False,False,,
18,0.0707112,253264.0,974.0923076923076,975.85,976.2190076461352,885.6647102438906,0.1022444457308322,0.2584889718165666,False,False,,
19,0.0746396,253721.0,975.85,975.85,976.2395080161892,885.6647102438906,0.1022675926055093,0.0058921880236351,False,False,,
20,0.078568,254016.0,976.9846153846154,975.85,976.2600083804952,885.6647102438906,0.1022907394736963,-0.657381639817542,False,False,,
21,0.0824964,251523.0,967.396153846154,971.2346153846154,971.6651241236392,885.6647102438906,0.0971026765377908,-1.2090043735842553,False,False,,
22,0.0864248,252521.0,971.2346153846154,967.396153846154,967.8471629379586,885.6647102438906,0.0927918339113195,-0.7834036701052103,False,False,,
23,0.0903532,251093.0,965.7423076923076,965.7423076923076,966.213817131116,885.6647102438906,0.0909476305825082,-0.8331492087253558,False,False,,
24,0.0942816,249485.0,959.5576923076924,961.5576923076924,962.0497020877564,885.6647102438906,0.0862459472082061,-0.5954760893278426,False,False,,
25,0.09821,250005.0,961.5576923076924,961.5576923076924,962.070202423264,885.6647102438906,0.0862690940438772,0.5530930846927795,False,False,,
26,0.1021384,253806.0,976.1769230769232,965.3653846153846,965.898395060687,885.6647102438906,0.0905914889560204,0.5530930830344207,False,False,,
27,0.1060668,250995.0,965.3653846153846,965.3653846153846,965.918895384655,885.6647102438906,0.090614635778662,0.0058921747776832,False,False,,
28,0.1099952,250196.0,962.2923076923076,965.3653846153846,965.939395702875,885.6647102438906,0.0906377825948137,0.1706051732906601,False,False,,
29,0.1139236,251293.0,966.5115384615384,966.5115384615384,967.1060498614715,885.6647102438906,0.0919550465041721,0.3712455040553326,False,False,,
30,0.117852,251656.0,967.9076923076924,967.9076923076924,968.5227040143204,885.6647102438906,0.0935545842710756,0.206532502231914,False,False,,
31,0.1217804,251812.0,968.5076923076924,967.9076923076924,968.5432043152528,885.6647102438906,0.0935777310677078,-0.0670679527256332,False,False,,
32,0.1257088,251524.0,967.4,967.4,968.0560123027302,885.6647102438906,0.0930276447801009,-0.3268502029709825,False,False,,
33,0.1296372,251054.0,965.5923076923076,965.5923076923076,966.2688202844452,885.6647102438906,0.0910097343930054,-1.1294115343109965,False,False,,
34,0.1335656,249470.0,959.5,959.5,960.197012875782,885.6647102438906,0.0841540842373262,-1.998300248267407,False,False,,
35,0.137494,247428.0,951.646153846154,951.646153846154,952.3636669998326,885.6647102438906,0.075309489002418,-2.500177445070255,False,False,,
36,0.1414224,244936.0,942.0615384615384,942.0615384615384,942.7995518873367,885.6647102438906,0.0645106900868982,-2.8787962558404256,False,False,,
37,0.1453508,242209.0,931.5730769230768,931.5730769230768,932.3315906152468,885.6647102438906,0.052691362579531,-1.8136890382814173,False,False,,
38,0.1492792,241644.0,929.4,929.4,930.1790139527642,885.6647102438906,0.0502608980509288,-1.434517502633211,False,False,,
39,0.1532076,239603.0,921.55,921.55,922.3495142076252,885.6647102438906,0.0414206454648424,-2.9705491400939428,False,False,,
40,0.157136,236259.0,908.6884615384616,908.6884615384616,909.5084759951706,885.6647102438906,0.0269218875670387,-2.6588104434453843,False,False,,
41,0.1610644,234392.0,901.5076923076924,903.0076923076924,903.8482070077226,885.6647102438906,0.0205309035727806,-0.8104873827996957,False,False,,
42,0.1649928,234782.0,903.0076923076924,903.0076923076924,903.8687072452814,885.6647102438906,0.020554050297858,0.0058921499420465,False,False,,
43,0.1689212,235115.0,904.2884615384615,903.0076923076924,903.889207477092,885.6647102438906,0.0205771970164453,-0.5656287986102186,False,False,,
44,0.1728496,233748.0,899.0307692307692,899.0307692307692,899.9327846262026,885.6647102438906,0.0161100179529372,-1.568830462371172,False,False,,
45,0.176778,231933.0,892.05,892.05,892.972515615719,885.6647102438906,0.0082512098396875,-1.01554954734943,False,False,,
46,0.1807064,231900.0,891.9230769230769,891.9230769230769,892.866092753319,885.6647102438906,0.0081310482693222,-0.954749448272066,False,False,,
47,0.1846348,228833.0,880.126923076923,885.3653846153846,886.3289006543872,885.6647102438906,0.0007499343745035,-0.936509419708252,False,False,,
48,0.1885632,230195.0,885.3653846153846,885.3653846153846,886.3494008573851,885.6647102438906,0.0007730810605584,0.1269396132852865,False,False,,
49,0.1924916,233236.0,897.0615384615385,886.2076923076924,887.2122087469282,885.6647102438906,0.0017472735281634,0.1269396116290198,False,False,,
50,0.19642,230414.0,886.2076923076924,886.2076923076924,887.2327089384011,885.6647102438906,0.0017704202012053,-0.864654760171612,False,False,,
51,0.2003484,227963.0,876.7807692307692,880.15,881.1955168164335,885.6647102438906,-0.0050461459915529,-0.8646547618278789,False,False,,
52,0.2042768,228839.0,880.15,880.15,881.2160169963812,885.6647102438906,-0.0050229993315238,0.0655867777402005,False,False,,
53,0.2082052,228947.0,880.5653846153846,880.5653846153846,881.6519017859655,885.6647102438906,-0.0045308437962036,0.0655867760860249,False,False,,
54,0.2121336,230685.0,887.25,880.5653846153846,881.6724019544026,885.6647102438906,-0.0045076971491712,-0.4700068402145574,False,False,,
55,0.216062,228086.0,877.2538461538461,877.2538461538461,878.3813636555387,885.6647102438906,-0.0082235935384014,-0.7126545166147104,False,False,,
56,0.2199904,227647.0,875.5653846153846,875.5653846153846,876.7134022740038,885.6647102438906,-0.0101068811553096,-0.846967468073412,False,False,,
57,0.2239188,225196.0,866.1384615384616,871.3192307692308,872.4877485789995,885.6647102438906,-0.0148780475415606,-0.8674184127058018,False,False,,
58,0.2278472,226543.0,871.3192307692308,869.4884615384616,870.6774794936172,885.6647102438906,-0.0169220141402566,-0.2572064942698668,False,False,,
59,0.2317756,226067.0,869.4884615384616,869.4884615384616,870.6979796332561,885.6647102438906,-0.0168988675257401,-0.2151991536010959,False,False,,
