time_index,time_sec,sum_intensity,norm_sum_intensity,filtered_norm_sum_intensity,detrended_norm_sum_intensity,f0_baseline,df_f_signal,d_df_f_signal,is_onset,is_peak,onset_index,peak_id
0,0.0,326874.0,1197.3406593406594,1197.3406593406594,1197.3406593406594,1374.2533657840318,-0.1287336897606512,0.013660975229645,False,False,,
1,0.0041284,330294.0,1209.868131868132,1197.3406593406594,1197.418164440945,1374.2533657840318,-0.1286772917905132,-0.392767855330856,False,False,,
2,0.0082568,325615.0,1192.7289377289378,1192.7289377289378,1192.883947941267,1374.2533657840318,-0.1319766953885471,-0.9577007010209524,False,False,,
3,0.0123851999999999,323865.0,1186.3186813186812,1186.3186813186812,1186.5511966544627,1374.2533657840318,-0.136584834938703,-0.5512718673774337,False,False,,
4,0.0165136,323252.0,1184.07326007326,1186.3186813186812,1186.6287017897312,1374.2533657840318,-0.136528436943109,0.3884535745248918,False,False,,
5,0.020642,325026.0,1190.571428571429,1190.571428571429,1190.9589541891555,1374.2533657840318,-0.1333774514645659,2.1897823139055053,False,False,,
6,0.0247703999999999,330606.0,1211.010989010989,1211.010989010989,1211.4760197871512,1374.2533657840318,-0.1184478423336541,7.248352443942796,True,False,6.0,1.0
7,0.0288988,347437.0,1272.6630036630036,1272.6630036630036,1273.2055396092424,1374.2533657840318,-0.0735292550054189,11.778145428477568,False,False,,
8,0.0330272,367049.0,1344.5018315018317,1344.5018315018317,1345.1218726296138,1374.2533657840318,-0.0211980511598005,14.554709672428269,False,False,,
9,0.0371556,392481.0,1437.6593406593406,1437.6593406593406,1438.3568869803662,1374.2533657840318,0.0466460718178866,15.855669318103615,False,False,,
10,0.041284,416123.0,1524.260073260073,1524.260073260073,1525.035124785809,1374.2533657840318,0.1097190392659174,15.653907588817631,False,False,,
11,0.0454124,440930.0,1615.128205128205,1615.128205128205,1615.980761870409,1374.2533657840318,0.1758972559972361,16.70177731872969,False,False,,
12,0.0495407999999999,467818.0,1713.6190476190477,1713.6190476190477,1714.5491095893613,1374.2533657840318,0.2476222742312046,16.814763890307432,False,False,,
13,0.0536692,492975.0,1805.7692307692307,1805.7692307692307,1806.7767979790624,1374.2533657840318,0.3147333984867265,14.669955983594363,False,False,,
14,0.0577976,513219.0,1879.923076923077,1879.923076923077,1881.008149384243,1374.2533657840318,0.3687491667965467,13.3196050701875,False,False,,
15,0.061926,534193.0,1956.7509157509155,1956.7509157509155,1957.9134934749416,1374.2533657840318,0.4247107136302506,12.183928638893,False,False,,
16,0.0660544,550919.0,2018.018315018315,2018.018315018315,2019.2583980167256,1374.2533657840318,0.4693494287821585,9.700483842311051,False,False,,
17,0.0701828,564200.0,2066.6666666666665,2066.6666666666665,2067.984254951162,1374.2533657840318,0.5048056686194444,8.963811410925892,False,False,,
18,0.0743112,578644.0,2119.5750915750914,2119.5750915750914,2120.9701851573127,1374.2533657840318,0.5433618268398913,9.672075794632974,False,False,,
19,0.0784396,594119.0,2176.260073260073,2176.260073260073,2177.7326721514873,1374.2533657840318,0.58466606404057,9.13296845055352,False,False,,
20,0.082568,606893.0,2223.051282051282,2223.051282051282,2224.601386263589,1374.2533657840318,0.6187709207424217,8.435357090354401,False,False,,
21,0.0866963999999999,620207.0,2271.8205128205127,2271.8205128205127,2273.448122365354,1374.2533657840318,0.654315120464208,6.761541769264525,False,False,,
22,0.0908248,627796.0,2299.6190476190477,2299.6190476190477,2301.3241625080063,1374.2533657840318,0.674599618822885,5.389561998248496,False,False,,
23,0.0949532,636860.0,2332.8205128205127,2332.8205128205127,2334.6031330652304,1374.2533657840318,0.6988156559713463,3.5617621237952193,False,False,,
24,0.0990815999999999,638787.0,2339.879120879121,2339.879120879121,2341.7392464910645,1374.2533657840318,0.7040083763266374,2.57006286399006,False,False,,
25,0.10321,644779.0,2361.8278388278386,2361.8278388278386,2363.765469818708,1374.2533657840318,0.7200361510267396,3.671520509738969,False,False,,
26,0.1073384,650118.0,2381.3846153846152,2381.3846153846152,2383.399751766052,1374.2533657840318,0.7343233868714502,3.2282903403939827,False,False,,
27,0.1114668,654737.0,2398.3040293040294,2398.3040293040294,2400.3966710876166,1374.2533657840318,0.7466914987093046,1.504760928703746,False,False,,
28,0.1155952,655259.0,2400.2161172161173,2398.3040293040294,2400.4741765014087,1374.2533657840318,0.7467478969075713,0.0795160606158447,False,False,,
29,0.1197236,654705.0,2398.186813186813,2399.051282051282,2401.298934674037,1374.2533657840318,0.7473480469185976,0.0033308329062577,False,False,,
30,0.123852,654941.0,2399.051282051282,2398.186813186813,2400.511971246526,1374.2533657840318,0.7467753989287116,0.0136610355972806,False,False,,
31,0.1279804,652700.0,2390.842490842491,2399.051282051282,2401.453945559596,1374.2533657840318,0.7474608433573172,-0.6335905964714357,False,True,6.0,1.0
32,0.1321088,656119.0,2403.3663003663005,2390.842490842491,2393.322659810988,1374.2533657840318,0.7415439680917663,-0.2439483388799317,False,False,,
33,0.1362372,649835.0,2380.3479853479853,2396.128205128205,2398.6858795684693,1374.2533657840318,0.7454466107128533,0.3326059866233919,False,False,,
34,0.1403656,654143.0,2396.128205128205,2394.4615384615386,2397.0967183852113,1374.2533657840318,0.7442902292021183,0.0136610437793365,False,False,,
35,0.144494,653688.0,2394.4615384615386,2396.128205128205,2398.8408905468696,1374.2533657840318,0.7455594072191306,0.0136610458261543,False,False,,
36,0.1486224,656592.0,2405.098901098901,2394.4615384615386,2397.2517293868364,1374.2533657840318,0.7444030257252956,-1.233065042378513,False,False,,
37,0.1527508,650281.0,2381.981684981685,2381.981684981685,2384.849381425199,1374.2533657840318,0.7353782357772197,-1.0861824999266076,False,False,,
38,0.1568792,648800.0,2376.5567765567766,2381.981684981685,2384.926886954999,1374.2533657840318,0.7354346340599015,0.3900677379358086,False,False,,
39,0.1610076,655096.0,2399.6190476190477,2386.252747252747,2389.275454767503,1374.2533657840318,0.7385989470758082,0.3900677399826122,False,False,,
40,0.165136,651447.0,2386.252747252747,2386.252747252747,2389.352960320528,1374.2533657840318,0.73865534537539,-0.9932106879880678,False,False,,
41,0.1692644,648328.0,2374.8278388278386,2374.8278388278386,2378.0055574602857,1374.2533657840318,0.7303982050672283,-1.3027938864982644,False,False,,
42,0.1733927999999999,647369.0,2371.3150183150183,2371.3150183150183,2374.570242523715,1374.2533657840318,0.7278984368133512,-0.3043154284369933,False,False,,
43,0.1775212,646572.0,2368.395604395605,2371.21978021978,2374.55251001631,1374.2533657840318,0.7278855334377099,0.0052677741668105,False,False,,
44,0.1816496,647343.0,2371.21978021978,2371.21978021978,2374.6300156157845,1374.2533657840318,0.7279419317710917,0.0136610642472874,False,False,,
45,0.185778,648680.0,2376.117216117216,2371.21978021978,2374.7075212269588,1374.2533657840318,0.727998330112987,-0.2403973058001156,False,False,,
46,0.1899064,645790.0,2365.5311355311355,2368.3369963369964,2371.9022429668744,1374.2533657840318,0.7259570192965613,-0.3795321936957947,False,False,,
47,0.1940348,646556.0,2368.3369963369964,2366.7582417582416,2370.400994022344,1374.2533657840318,0.7248646086960795,-0.1254738195547986,False,False,,
48,0.1981631999999999,646125.0,2366.7582417582416,2366.7582417582416,2370.4784996682683,1374.2533657840318,0.7249210070632612,-1.1336368366315384,False,False,,
49,0.2022916,641137.0,2348.4871794871797,2353.739926739927,2357.537690307403,1374.2533657840318,0.7155043960633802,-1.1336368345796046,False,False,,
50,0.20642,642571.0,2353.739926739927,2353.739926739927,2357.6151959766103,1374.2533657840318,0.7155607944475043,0.0136610765229505,False,False,,
51,0.2105484,642996.0,2355.296703296703,2353.739926739927,2357.6927016573427,1374.2533657840318,0.7156171928400149,-0.5512717691722742,False,False,,
52,0.2146768,640821.0,2347.3296703296705,2347.3296703296705,2351.359950939402,1374.2533657840318,0.7110090537038027,-0.8924912071503144,False,False,,
53,0.2188052,639764.0,2343.4578754578756,2343.4578754578756,2347.5656617716227,1374.2533657840318,0.7082480714408161,-1.1200784380520332,False,False,,
54,0.2229336,637309.0,2334.4652014652015,2334.4652014652015,2338.650493494431,1374.2533657840318,0.7017607900564947,-1.5949448468802814,False,False,,
55,0.2270619999999999,634781.0,2325.2051282051284,2325.2051282051284,2329.467925961482,1374.2533657840318,0.695078930829095,-1.937132741158436,False,False,,
56,0.2311904,631266.0,2312.3296703296705,2312.3296703296705,2316.669973824906,1374.2533657840318,0.6857662724392977,-1.1210468882168954,False,False,,
57,0.2353188,631233.0,2312.2087912087914,2312.3296703296705,2316.7474795752546,1374.2533657840318,0.6858226708824657,0.0030080714156071,False,False,,
58,0.2394472,634145.0,2322.875457875458,2312.2087912087914,2316.7041062163075,1374.2533657840318,0.6857911094833621,0.3048436235413305,False,False,,
59,0.2435756,627071.0,2296.96336996337,2315.6336996336995,2320.2065204148475,1374.2533657840318,0.6883397037133219,-1.329910626362448,False,False,,
60,0.247704,632168.0,2315.6336996336995,2296.96336996337,2301.613696529675,1374.2533657840318,0.6748103034236126,-1.953919306981618,False,False,,
61,0.2518324,626073.0,2293.3076923076924,2293.3076923076924,2298.035524670854,1374.2533657840318,0.672206582779436,-0.3085120335698548,False,False,,
62,0.2559608,625910.0,2292.710622710623,2293.3076923076924,2298.113030479236,1374.2533657840318,0.672262981264833,-0.0389583584624517,False,False,,
63,0.2600892,626468.0,2294.7545787545787,2292.710622710623,2297.593466702248,1374.2533657840318,0.6718849114052831,-1.169792508189616,False,False,,
64,0.2642176,622407.0,2279.879120879121,2279.879120879121,2284.8394707023526,1374.2533657840318,0.6626042384832131,-1.1697925061479566,False,False,,
65,0.268346,621177.0,2275.3736263736264,2279.2820512820513,2284.3199069485313,1374.2533657840318,0.6622261686405208,-0.3834059800585123,False,False,,
66,0.2724744,622244.0,2279.2820512820513,2275.3736263736264,2280.488987894938,1374.2533657840318,0.6594385319870659,-0.5141475799153739,False,False,,
67,0.2766028,620496.0,2272.879120879121,2273.29304029304,2278.4859076808248,1374.2533657840318,0.6579809549026755,-0.2061784711673482,False,False,,
68,0.2807312,620609.0,2273.29304029304,2272.879120879121,2278.1494941449037,1374.2533657840318,0.6577361575863312,-1.3376582584295988,False,False,,
69,0.2848596,616029.0,2256.5164835164837,2257.959706959707,2263.307586115246,1374.2533657840318,0.6469361781944742,-1.4283703307951328,False,False,,
70,0.288988,616423.0,2257.959706959707,2256.5164835164837,2261.9418685731875,1374.2533657840318,0.645942389439022,0.0136611174332017,False,False,,
71,0.2931164,614053.0,2249.2783882783883,2257.959706959707,2263.462597929392,1374.2533657840318,0.6470489753088967,-0.1206314888848538,False,False,,
72,0.2972448,616430.0,2257.985347985348,2254.992673992674,2260.573070886865,1374.2533657840318,0.6449463593615976,-0.2478220822855945,False,False,,
73,0.3013732,615613.0,2254.992673992674,2254.992673992674,2260.6505768228963,1374.2533657840318,0.6450027579398809,-0.8547213680878087,False,False,,
74,0.3055016,612509.0,2243.6227106227107,2245.139194139194,2250.874602917147,1374.2533657840318,0.6378890959695703,-0.9883683368655484,False,False,,
75,0.30963,612923.0,2245.139194139194,2243.6227106227107,2249.4356253600363,1374.2533657840318,0.6368419982560495,-0.4582999142715493,False,False,,
76,0.3137584,610364.0,2235.7655677655675,2239.7838827838827,2245.674303492048,1374.2533657840318,0.6341050052374131,-0.4024522649918367,False,False,,
77,0.3178867999999999,611461.0,2239.7838827838827,2238.901098901099,2244.8690255918614,1374.2533657840318,0.6335190303944649,-0.0641381918411099,False,False,,
78,0.3220152,611220.0,2238.901098901099,2238.901098901099,2244.946531585984,1374.2533657840318,0.6335754290150193,-0.9189622931152996,False,False,,
79,0.3261436,608331.0,2228.3186813186812,2228.3186813186812,2234.441620009272,1374.2533657840318,0.6259313425326706,-1.5604031873216258,False,False,,
80,0.330272,606344.0,2221.040293040293,2221.040293040293,2227.240737748231,1374.2533657840318,0.620691491977942,-1.071332748519069,False,False,,
81,0.3344004,602056.0,2205.3333333333335,2216.007326007326,2222.2852767442528,1374.2533657840318,0.6170855622946984,-1.3705857463798594,False,False,,
82,0.3385288,604970.0,2216.007326007326,2205.3333333333335,2211.6887901108907,1374.2533657840318,0.6093748395872327,-1.237907229808641,False,False,,
83,0.3426572,601093.0,2201.805860805861,2201.805860805861,2208.238823635632,1374.2533657840318,0.6068644098796143,-0.3937361438809716,False,False,,
84,0.3467855999999999,598872.0,2193.6703296703295,2200.710622710623,2207.2210916040744,1374.2533657840318,0.6061238389944363,-0.7033193423963127,False,False,,
85,0.350914,600794.0,2200.710622710623,2193.6703296703295,2200.2583046391615,1374.2533657840318,0.6010572427333163,-0.9822347577336928,False,False,,
86,0.3550424,597709.0,2189.4102564102564,2189.4102564102564,2196.0757374661102,1374.2533657840318,0.5980137230467809,-1.5365145839990646,False,False,,
87,0.3591708,594070.0,2176.0805860805863,2176.0805860805863,2182.8235732351036,1374.2533657840318,0.5883705491161527,-1.3676803651781595,False,False,,
88,0.3632992,593430.0,2173.736263736264,2173.736263736264,2180.55675700097,1374.2533657840318,0.5867210598075778,-1.0135481722961115,False,False,,
89,0.3674276,590888.0,2164.4249084249086,2164.4249084249086,2171.322907811503,1374.2533657840318,0.5800018845671381,-0.806944157364569,False,False,,
90,0.371556,587233.0,2151.03663003663,2164.4249084249086,2171.400413944916,1374.2533657840318,0.5800582832890501,-0.1851952040478863,False,False,,
91,0.3756844,592243.0,2169.388278388278,2162.168498168498,2169.2215098335605,1374.2533657840318,0.5784727648063556,-0.1851952020010685,False,False,,
92,0.3798128,590272.0,2162.168498168498,2162.168498168498,2169.2990159901988,1374.2533657840318,0.5785291635451675,-1.2395213032067858,False,False,,
