time_s,time_index,theta_deg,velocity
0.0362869333333333,32.0,84.0,26.971985474862738
0.0544304,48.0,84.0,26.971985474862738
0.0725738666666666,64.0,84.25,25.84040613337845
0.0907173333333333,80.0,84.25,25.84040613337845
0.1088608,96.0,84.5,24.709820710911924
0.1270042666666666,112.0,84.25,25.84040613337845
0.1451477333333333,128.0,84.25,25.84040613337845
0.1632912,144.0,84.25,25.84040613337845
0.1814346666666666,160.0,84.25,25.84040613337845
0.1995781333333333,176.0,84.25,25.84040613337845
0.2177216,192.0,84.5,24.709820710911924
0.2358650666666666,208.0,84.5,24.709820710911924
0.2540085333333333,224.0,90.0,1.571352267344189e-14
0.272152,240.0,90.0,1.571352267344189e-14
0.2902954666666666,256.0,84.25,25.84040613337845
0.3084389333333333,272.0,84.0,26.971985474862738
0.3265824,288.0,84.0,26.971985474862738
0.3447258666666666,304.0,84.25,25.84040613337845
0.3628693333333333,320.0,84.5,24.709820710911924
0.3810128,336.0,90.0,1.571352267344189e-14
0.3991562666666666,352.0,90.0,1.571352267344189e-14
0.4172997333333333,368.0,84.25,25.84040613337845
0.4354432,384.0,84.0,26.971985474862738
0.4535866666666667,400.0,83.75,28.104603192177816
0.4717301333333333,416.0,84.0,26.971985474862738
0.4898736,432.0,84.25,25.84040613337845
0.5080170666666667,448.0,84.75,23.580184904341504
0.5261605333333333,464.0,84.5,24.709820710911924
0.544304,480.0,84.25,25.84040613337845
0.5624474666666667,496.0,84.0,26.971985474862738
0.5805909333333333,512.0,84.25,25.84040613337845
0.5987344,528.0,84.5,24.709820710911924
0.6168778666666667,544.0,84.75,23.580184904341504
0.6350213333333333,560.0,90.0,1.571352267344189e-14
0.6531648,576.0,90.0,1.571352267344189e-14
0.6713082666666667,592.0,90.0,1.571352267344189e-14
0.6894517333333333,608.0,90.0,1.571352267344189e-14
0.7075952,624.0,84.25,25.84040613337845
0.7257386666666666,640.0,84.25,25.84040613337845
0.7438821333333333,656.0,84.25,25.84040613337845
0.7620256,672.0,84.5,24.709820710911924
0.7801690666666666,688.0,90.0,1.571352267344189e-14
0.7983125333333333,704.0,90.0,1.571352267344189e-14
0.816456,720.0,90.0,1.571352267344189e-14
0.8345994666666666,736.0,90.0,1.571352267344189e-14
0.8527429333333333,752.0,90.0,1.571352267344189e-14
0.8708864000000001,768.0,84.5,24.709820710911924
0.8890298666666667,784.0,90.0,1.571352267344189e-14
0.9071733333333334,800.0,90.0,1.571352267344189e-14
0.9253168,816.0,90.0,1.571352267344189e-14
0.9434602666666668,832.0,90.0,1.571352267344189e-14
0.9616037333333334,848.0,90.0,1.571352267344189e-14
0.9797472,864.0,84.25,25.84040613337845
0.9978906666666668,880.0,84.25,25.84040613337845
1.0160341333333334,896.0,84.25,25.84040613337845
1.0341776,912.0,84.5,24.709820710911924
1.0523210666666667,928.0,90.0,1.571352267344189e-14
1.0704645333333334,944.0,90.0,1.571352267344189e-14
1.088608,960.0,90.0,1.571352267344189e-14
1.106751466666667,976.0,84.25,25.84040613337845
1.1248949333333331,992.0,84.25,25.84040613337845
1.1430384,1008.0,84.5,24.709820710911924
1.161181866666667,1024.0,84.5,24.709820710911924
1.1793253333333331,1040.0,90.0,1.571352267344189e-14
1.1974688,1056.0,90.0,1.571352267344189e-14
1.2156122666666669,1072.0,90.0,1.571352267344189e-14
1.233755733333333,1088.0,90.0,1.571352267344189e-14
1.2518992,1104.0,84.5,24.709820710911924
1.2700426666666669,1120.0,84.5,24.709820710911924
1.288186133333333,1136.0,90.0,1.571352267344189e-14
1.3063296,1152.0,84.25,25.84040613337845
1.3244730666666666,1168.0,90.0,1.571352267344189e-14
1.3426165333333333,1184.0,84.25,25.84040613337845
1.36076,1200.0,84.25,25.84040613337845
1.3789034666666666,1216.0,84.5,24.709820710911924
1.3970469333333333,1232.0,84.25,25.84040613337845
1.4151904,1248.0,90.0,1.571352267344189e-14
1.4333338666666666,1264.0,90.0,1.571352267344189e-14
1.4514773333333333,1280.0,90.0,1.571352267344189e-14
1.4696208,1296.0,90.0,1.571352267344189e-14
1.4877642666666666,1312.0,84.25,25.84040613337845
1.5059077333333333,1328.0,84.0,26.971985474862738
1.5240512,1344.0,84.25,25.84040613337845
1.5421946666666666,1360.0,84.5,24.709820710911924
1.5603381333333333,1376.0,84.5,24.709820710911924
1.5784816,1392.0,90.0,1.571352267344189e-14
1.5966250666666666,1408.0,90.0,1.571352267344189e-14
1.6147685333333333,1424.0,90.0,1.571352267344189e-14
1.632912,1440.0,84.25,25.84040613337845
1.6510554666666666,1456.0,84.25,25.84040613337845
1.6691989333333332,1472.0,84.25,25.84040613337845
1.6873424,1488.0,84.25,25.84040613337845
1.7054858666666666,1504.0,84.5,24.709820710911924
1.7236293333333332,1520.0,90.0,1.571352267344189e-14
1.7417728,1536.0,84.25,25.84040613337845
1.7599162666666668,1552.0,84.25,25.84040613337845
1.7780597333333334,1568.0,84.0,26.971985474862738
1.7962032,1584.0,84.0,26.971985474862738
1.8143466666666668,1600.0,84.25,25.84040613337845
1.8324901333333337,1616.0,84.25,25.84040613337845
1.8506336,1632.0,90.0,1.571352267344189e-14
1.8687770666666668,1648.0,90.0,1.571352267344189e-14
1.8869205333333336,1664.0,90.0,1.571352267344189e-14
1.905064,1680.0,84.25,25.84040613337845
1.9232074666666668,1696.0,90.0,1.571352267344189e-14
1.9413509333333336,1712.0,90.0,1.571352267344189e-14
1.9594944,1728.0,84.5,24.709820710911924
1.9776378666666667,1744.0,90.0,1.571352267344189e-14
1.9957813333333336,1760.0,90.0,1.571352267344189e-14
2.0139248,1776.0,90.0,1.571352267344189e-14
2.0320682666666667,1792.0,84.25,25.84040613337845
2.050211733333333,1808.0,84.0,26.971985474862738
2.0683552,1824.0,84.25,25.84040613337845
