peak_id,peak_status,peak_warning_count,peak_warnings_text,onset_index,onset_time_sec,onset_value,peak_index,peak_time_sec,peak_value,peak_amplitude,peak_detection_method,onset_to_onset_interval_sec,peak_to_peak_interval_sec,baseline_mean,baseline_mean_status,baseline_mean_reason,baseline_std,baseline_std_status,baseline_std_reason,prominence,prominence_status,prominence_reason,rise_10_90_sec,rise_10_90_sec_status,rise_10_90_sec_reason,decay_90_10_sec,decay_90_10_sec_status,decay_90_10_sec_reason,decay_time_sec,decay_time_sec_status,decay_time_sec_reason,max_rise_slope,max_rise_slope_status,max_rise_slope_reason,max_decay_slope,max_decay_slope_status,max_decay_slope_reason,auc,auc_status,auc_reason,width_10_value,width_10_left_index,width_10_right_index,width_10_points,width_10_sec,width_10_status,width_20_value,width_20_left_index,width_20_right_index,width_20_points,width_20_sec,width_20_status,width_50_value,width_50_left_index,width_50_right_index,width_50_points,width_50_sec,width_50_status,width_80_value,width_80_left_index,width_80_right_index,width_80_points,width_80_sec,width_80_status,width_90_value,width_90_left_index,width_90_right_index,width_90_points,width_90_sec,width_90_status
1,ok,0,,51,0.2258484,0.015257434141899931,74,0.3277016,1.0185002711806346,1.0032428370387347,derivative_threshold,,,0.01250800536211442,ok,,0.001958861671255851,ok,,1.00599226581852,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,28.92700148727763,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.11558171784577341,52.446463759453614,,,,right_not_found_within_width_search_window,0.21590600154964687,53.254308659280305,,,,right_not_found_within_width_search_window,0.5168788526612673,56.16028646610284,207.6681449755545,151.50785850945167,0.6709374006232557,ok,0.8178517037728877,60.17384950045043,161.95664144824852,101.78279194779809,0.45073491586162906,ok,0.9181759874767612,62.864146606211506,105.86004195009183,42.99589534388032,0.1904030229408396,ok
2,ok,0,,496,2.1964864,0.0092354061999811,519,2.2983396,0.9830211232455611,0.97378571704558,derivative_threshold,1.970638,1.970638,-0.0036177809934902494,ok,,0.0035577367104790906,ok,,0.9866389042390513,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,25.906819235951424,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.10661397790453911,497.3347977985376,,,,right_not_found_within_width_search_window,0.2039925496090971,498.19162949571273,,,,right_not_found_within_width_search_window,0.4961282647227711,501.38687495836757,660.1787981229954,158.79192316462786,0.703194152542238,ok,0.7882639798364451,506.17053797150317,619.5469478119962,113.37640984049307,0.5020760933376395,ok,0.8856425515410031,508.87343903740776,568.1928623290219,59.3194232916141,0.26269013410458386,ok
3,ok,0,,941,4.1671244,0.003241696230722525,967,4.2822628,0.9610893278724848,0.9578476316417622,derivative_threshold,1.9706379999999997,1.9839232,-0.013273561701800083,ok,,0.002888627477949856,ok,,0.9743628895742849,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,23.403140836533755,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.09902645939489875,942.3223492799161,,,,right_not_found_within_width_search_window,0.19481122255907496,943.2393572359567,,,,right_not_found_within_width_search_window,0.48216551205160363,946.4463571268183,1107.2242376948843,160.77788056806605,0.7119887663076236,ok,0.7695198015441324,951.2044497843182,1066.8026890697338,115.59823928541562,0.5119152428515344,ok,0.8653045647083086,954.7044012779667,1043.0793826922768,88.37498141431013,0.391359767695131,ok
4,ok,0,,1386,6.1377624,-0.0037173892549775354,1413,6.2573292,0.93746921238822,0.9411866016431976,derivative_threshold,1.9706380000000001,1.9750664000000002,-0.009990208580117857,ok,,0.005507379724883069,ok,,0.9474594209683379,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,23.169148150179836,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.09040127090934222,1387.3683915414665,,,,right_not_found_within_width_search_window,0.184519931073662,1388.2894021696395,,,,right_not_found_within_width_search_window,0.4668759115666212,1391.4782096663437,1555.0266381804963,163.54842851415265,0.7242578608320736,ok,0.7492318920595805,1396.846858241121,1517.6889894372048,120.84213119608376,0.5351372937887373,ok,0.8433505522239003,1400.5371847642277,1495.8299022178226,95.29271745359483,0.42199426997149936,ok
5,ok,0,,1831,8.108400399999999,0.002941274430149308,1860,8.236824,0.9092525348442959,0.9063112604141466,derivative_threshold,1.9706379999999992,1.9794948000000003,-0.013182111905523408,ok,,0.0024129188284997016,ok,,0.9224346467498193,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,19.932660959081097,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.09357240047156397,1832.3714003198963,,,,right_not_found_within_width_search_window,0.1842035265129786,1833.373416498844,,,,right_not_found_within_width_search_window,0.4560969046372226,1836.9942068386304,2000.838464391604,163.84425755297366,0.7255679101475885,ok,0.7279902827614666,1842.7201466331576,1965.506965498905,122.78681886574736,0.5437491486650756,ok,0.8186214088028813,1846.4406495770968,1943.8134594385488,97.37280986145197,0.4312057511904539,ok
6,ok,0,,2276,10.0790384,-0.004180503451611007,2328,10.3093152,0.9037219977419148,0.9079025011935258,derivative_threshold,1.970638000000001,2.0724912,-0.011124621570449406,ok,,0.0017601673906212636,ok,,0.9148466193123641,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,18.846083147482076,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.08660974666774159,2277.490808073052,,,,right_not_found_within_width_search_window,0.17739999678709417,2278.5847967630248,,,,right_not_found_within_width_search_window,0.44977074714515186,2283.0131181233746,2451.8528292794836,168.83971115610893,0.7476897768837127,ok,0.7221414975032097,2288.6942799854005,2415.357625166828,126.6633451814273,0.5609159578014327,ok,0.8129317476225622,2293.236945175129,2397.1145866063953,103.87764143126606,0.46001174731421857,ok
