peak_id,peak_status,peak_warning_count,peak_warnings_text,onset_index,onset_time_sec,onset_value,peak_index,peak_time_sec,peak_value,peak_amplitude,peak_detection_method,onset_to_onset_interval_sec,peak_to_peak_interval_sec,baseline_mean,baseline_mean_status,baseline_mean_reason,baseline_std,baseline_std_status,baseline_std_reason,prominence,prominence_status,prominence_reason,rise_10_90_sec,rise_10_90_sec_status,rise_10_90_sec_reason,decay_90_10_sec,decay_90_10_sec_status,decay_90_10_sec_reason,decay_time_sec,decay_time_sec_status,decay_time_sec_reason,max_rise_slope,max_rise_slope_status,max_rise_slope_reason,max_decay_slope,max_decay_slope_status,max_decay_slope_reason,auc,auc_status,auc_reason,width_10_value,width_10_left_index,width_10_right_index,width_10_points,width_10_sec,width_10_status,width_20_value,width_20_left_index,width_20_right_index,width_20_points,width_20_sec,width_20_status,width_50_value,width_50_left_index,width_50_right_index,width_50_points,width_50_sec,width_50_status,width_80_value,width_80_left_index,width_80_right_index,width_80_points,width_80_sec,width_80_status,width_90_value,width_90_left_index,width_90_right_index,width_90_points,width_90_sec,width_90_status
1,ok,0,,2,0.008816800000000001,-0.4753215556237339,80,0.35267200000000004,0.4695989123876158,0.9449204680113497,derivative_threshold,,,-0.4817794874540945,ok,,0.0030629057788363486,ok,,0.9513783998417102,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,14.30418349409246,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.3808295088225989,4.833843190077117,,,,right_not_found_within_width_search_window,-0.28633746202146393,6.4188740745904,,,,right_not_found_within_width_search_window,-0.002861321618059076,11.247844571601078,,,,right_not_found_within_width_search_window,0.2806148187853459,21.642636846940743,166.73106771237786,145.08843086543712,0.6396078386271931,ok,0.37510686558648076,33.23057417473839,139.0691335063537,105.8385593316153,0.466578704957493,ok
2,ok,0,,449,1.9793716000000003,-0.022223052004583268,495,2.1821580000000003,0.7026510914334623,0.7248741434380456,derivative_threshold,1.9705548000000004,1.8294860000000002,-0.026684106339153812,ok,,0.002167854760631996,ok,,0.7293351977726161,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,13.450365290427452,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.05026436233922128,451.6296862067754,,,,right_not_found_within_width_search_window,0.12275177668302584,453.2788430824067,,,,right_not_found_within_width_search_window,0.34021401971443954,457.14507825642664,,,,right_not_found_within_width_search_window,0.5576762627458531,462.95832133051766,569.9133887969134,106.95506746639575,0.47150071941885907,ok,0.6301636770896577,466.88505912018707,546.9895869498189,80.10452782963182,0.35313280048414897,ok
3,ok,0,,896,3.9499264000000007,-0.01982572930873748,940,4.143896000000001,0.6942229864307856,0.7140487157395231,derivative_threshold,1.9705548000000004,1.9617380000000004,-0.020547617448824718,ok,,0.0018985631113112426,ok,,0.7147706038796103,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,12.833051932775572,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.05157914226521483,898.4980781436699,,,,right_not_found_within_width_search_window,0.12298401383916714,899.9662948209607,,,,right_not_found_within_width_search_window,0.33719862856102406,904.0609038553514,,,,right_not_found_within_width_search_window,0.551413243282881,910.5063527289414,1016.7097093156435,106.20335658670217,0.4681868771768179,ok,0.6228181148568334,914.2471701350463,993.7965893826673,79.54941924762102,0.3506856598112125,ok
4,ok,0,,1344,5.924889600000001,-0.013520096105077064,1390,6.127676000000001,0.67875938346808,0.692279479573157,derivative_threshold,1.9749632000000004,1.9837800000000003,-0.01660515383883995,ok,,0.0019767641088175164,ok,,0.6953645373069199,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,11.05619258069374,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.05570785185223864,1346.1337102884088,,,,right_not_found_within_width_search_window,0.12493579980955435,1347.7500291590388,,,,right_not_found_within_width_search_window,0.3326196436815015,1352.187810774059,,,,right_not_found_within_width_search_window,0.5403034875534486,1358.6608168645828,1465.7090066778032,107.04818981322046,0.47191123997260115,ok,0.6095314355107643,1362.895372037556,1442.5650191892505,79.66964715169456,0.35121567250353036,ok
5,ok,0,,1790,7.8910360000000015,-0.025622503950939787,1842,8.1202728,0.663836776424234,0.6894592803751738,derivative_threshold,1.9661464000000004,1.9925967999999994,-0.03442852212869966,ok,,0.0012639361335543948,ok,,0.6982652985529336,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,11.874506243885689,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.04332342408657759,1793.0087362078573,,,,right_not_found_within_width_search_window,0.11226935212409497,1794.5973480593802,,,,right_not_found_within_width_search_window,0.3191071362366471,1798.8300835106415,,,,right_not_found_within_width_search_window,0.5259449203491993,1804.8062049650703,1914.5312263317785,109.72502136670823,0.48371178419299665,ok,0.5948908483867167,1809.328593937213,1891.2040530697943,81.87545913258123,0.36093977404007116,ok
6,ok,0,,2236,9.857182400000001,-0.032436972891426774,2281,10.055560400000001,0.6492336195114096,0.6816705924028363,derivative_threshold,1.9661463999999995,1.9352876000000006,-0.03593046294352983,ok,,0.0006453259383432897,ok,,0.6851640824549394,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,12.151262804021467,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.03573008634885687,2239.753419535753,,,,right_not_found_within_width_search_window,0.10389714558914051,2241.3048487218502,,,,right_not_found_within_width_search_window,0.3083983233099914,2245.387045310712,,,,right_not_found_within_width_search_window,0.5128995010308424,2251.7412384392264,2361.1355070010973,109.39426856187083,0.48225369352815145,ok,0.5810665602711259,2256.3920529884003,2336.66336367183,80.27131068342987,0.3538680460168323,ok
