time_index,time_sec,sum_intensity,norm_sum_intensity,filtered_norm_sum_intensity,detrended_norm_sum_intensity,f0_baseline,df_f_signal,d_df_f_signal,is_onset,is_peak,onset_index,peak_id
0,0.0,586098.0,1843.0754716981132,1843.0754716981132,1843.0754716981132,1856.0044791772,-0.0069660432526641,0.0192276956145153,True,False,0.0,1.0
1,0.0042884,587105.0,1846.24213836478,1843.0754716981132,1843.228510496013,1856.0044791772,-0.0068835872027908,0.0192276949709561,False,False,,
2,0.0085768,586201.0,1843.3993710691825,1843.0754716981132,1843.3815492836688,1856.0044791772,-0.0068011311584372,0.0192276937423431,False,False,,
3,0.0128652,584631.0,1838.4622641509432,1843.0754716981132,1843.5345880620112,1856.0044791772,-0.0067186751191015,0.0395749462889287,False,False,,
4,0.0171536,585201.0,1840.254716981132,1843.3993710691825,1844.011526201178,1856.0044791772,-0.0064617047591063,0.1618560138647289,False,False,,
5,0.021442,586820.0,1845.3459119496856,1845.3459119496856,1846.1111058404656,1856.0044791772,-0.0053304684593865,0.1978094125107639,False,False,,
6,0.0257304,585190.0,1840.2201257861636,1846.24213836478,1847.1603710041,1856.0044791772,-0.004765132989884,1.0899278389114866,False,False,,
7,0.0300188,592240.0,1862.3899371069183,1862.3899371069183,1863.4612084849996,1856.0044791772,0.0040176246293895,1.4666483517539388,False,False,,
8,0.0343072,594432.0,1869.2830188679245,1869.2830188679245,1870.507328974988,1856.0044791772,0.0078140165934391,0.8696638756838152,False,False,,
9,0.0385956,596545.0,1875.927672955975,1875.927672955975,1877.3050217822415,1856.0044791772,0.0114765577583544,0.6480170906126559,False,False,,
10,0.042884,597703.0,1879.5691823899372,1879.2924528301887,1880.82284036588,1856.0044791772,0.0133719295762057,0.2479861292403991,False,False,,
11,0.0471724,598047.0,1880.6509433962265,1879.5691823899372,1881.252608625274,1856.0044791772,0.0136034851916235,0.1045676208195498,False,False,,
12,0.0514608,598725.0,1882.7830188679245,1880.6509433962265,1882.48740832143,1856.0044791772,0.0142687851464508,0.2211198499245164,False,False,,
13,0.0557492,597615.0,1879.2924528301887,1882.7830188679245,1884.77252247275,1856.0044791772,0.0154999859204561,0.4957090015846197,False,False,,
14,0.0600376,600459.0,1888.2358490566037,1888.2358490566037,1890.3783913317384,1856.0044791772,0.0185203821112418,0.556750761710884,False,False,,
15,0.064326,601929.0,1892.8584905660375,1891.339622641509,1893.6352035771736,1856.0044791772,0.020275125853498,0.3096205228531823,False,False,,
16,0.0686144,601446.0,1891.339622641509,1892.8584905660375,1895.3071101519877,1856.0044791772,0.021175935411649,0.5160562516447551,False,False,,
17,0.0729028,604132.0,1899.7861635220129,1899.248427672956,1901.8500858994123,1856.0044791772,0.0247012371126047,0.4544218506310411,False,False,,
18,0.0771912,603961.0,1899.248427672956,1899.7861635220129,1902.5408603791968,1856.0044791772,0.0250734207401413,0.3884414342771136,False,False,,
19,0.0814796,605984.0,1905.6100628930817,1905.125786163522,1908.0335216421208,1856.0044791772,0.0280328216061127,0.3850831484448225,False,False,,
20,0.085768,605830.0,1905.125786163522,1905.6100628930817,1908.6708369828505,1856.0044791772,0.0283762018877229,0.4338770470168405,False,False,,
21,0.0900564,607929.0,1911.7264150943397,1911.7264150943397,1914.9402277854992,1856.0044791772,0.0317540982629667,1.3220445503836773,False,False,,
22,0.0943448,612923.0,1927.4308176100628,1926.3490566037735,1929.7159078865452,1856.0044791772,0.0397151135874536,1.0057731579208804,False,False,,
23,0.0986332,612579.0,1926.3490566037735,1927.4308176100628,1930.950707474202,1856.0044791772,0.0403804134838225,0.2718891977419648,False,False,,
24,0.1029216,613858.0,1930.37106918239,1930.37106918239,1934.0439976190492,1856.0044791772,0.0420470528586469,0.9243841403920828,False,False,,
25,0.10721,617505.0,1941.839622641509,1941.839622641509,1945.6655896399784,1856.0044791772,0.0483086713791374,0.740468670544729,False,False,,
26,0.1114984,617509.0,1941.8522012578617,1941.8522012578617,1945.8312068088271,1856.0044791772,0.0483979045521749,0.036611725616467,False,False,,
27,0.1157868,618392.0,1944.62893081761,1942.1163522012575,1946.2483962944757,1856.0044791772,0.0486226828274047,0.1093087087205075,False,False,,
28,0.1200752,619207.0,1947.191823899371,1943.2861635220129,1947.5712461477035,1856.0044791772,0.049335423485129,0.1770670380541279,False,False,,
29,0.1243636,617593.0,1942.1163522012575,1944.62893081761,1949.067051966461,1856.0044791772,0.0501413513993873,0.2645799826742037,False,False,,
30,0.128652,617965.0,1943.2861635220129,1947.191823899371,1951.7829835611371,1856.0044791772,0.0516046730805291,0.8649227408615383,False,False,,
31,0.1329404,622673.0,1958.0911949685535,1958.0911949685535,1962.835393133456,1856.0044791772,0.0575596207632086,0.7693104015047689,False,False,,
32,0.1372288,623004.0,1959.132075471698,1959.132075471698,1964.0293121299585,1856.0044791772,0.0582028945321552,0.1573124177946718,False,False,,
33,0.1415172,626594.0,1970.4213836477988,1960.2893081761008,1965.3395833179395,1856.0044791772,0.0589088579081499,0.6610551071173143,False,False,,
34,0.1458056,623372.0,1960.2893081761008,1969.3490566037735,1974.5523702194123,1856.0044791772,0.063872631974879,0.6557213597534624,False,False,,
35,0.150094,628276.0,1975.7106918238992,1970.4213836477988,1975.7777357274583,1856.0044791772,0.0645328488664834,0.1219516526644222,False,False,,
