peak_id,peak_status,peak_warning_count,peak_warnings_text,onset_index,onset_time_sec,onset_value,peak_index,peak_time_sec,peak_value,peak_amplitude,peak_detection_method,onset_to_onset_interval_sec,peak_to_peak_interval_sec,baseline_mean,baseline_mean_status,baseline_mean_reason,baseline_std,baseline_std_status,baseline_std_reason,prominence,prominence_status,prominence_reason,rise_10_90_sec,rise_10_90_sec_status,rise_10_90_sec_reason,decay_90_10_sec,decay_90_10_sec_status,decay_90_10_sec_reason,decay_time_sec,decay_time_sec_status,decay_time_sec_reason,max_rise_slope,max_rise_slope_status,max_rise_slope_reason,max_decay_slope,max_decay_slope_status,max_decay_slope_reason,auc,auc_status,auc_reason,width_10_value,width_10_left_index,width_10_right_index,width_10_points,width_10_sec,width_10_status,width_20_value,width_20_left_index,width_20_right_index,width_20_points,width_20_sec,width_20_status,width_50_value,width_50_left_index,width_50_right_index,width_50_points,width_50_sec,width_50_status,width_80_value,width_80_left_index,width_80_right_index,width_80_points,width_80_sec,width_80_status,width_90_value,width_90_left_index,width_90_right_index,width_90_points,width_90_sec,width_90_status
1,ok,0,,5,0.020842,-0.1398200395663941,32,0.1333888,1.0641885659406498,1.204008605507044,derivative_threshold,,,-0.1357725255950066,ok,,0.002699545731420063,ok,,1.1999610915356564,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,26.734354281109805,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.019419179015689694,7.181464914666554,,,,right_not_found_within_width_search_window,0.10098168153501472,8.155235426757477,,,,right_not_found_within_width_search_window,0.4621842631871279,12.37833375872264,126.45971105732777,114.08137729860513,0.47553681313150564,ok,0.8233868448392412,18.644759247223984,89.74383022284061,71.09907097561663,0.29636936745476034,ok,0.9437877053899456,21.61309460826364,71.57708477800504,49.96399016974141,0.20826989662355008,ok
2,ok,0,,243,1.0129212,-0.1416408840957777,270,1.125468,1.0411789816636434,1.182819865759421,derivative_threshold,0.9920792,0.9920791999999999,-0.13219422465528521,ok,,0.011593486956985312,ok,,1.1733732063189286,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,26.530072151592694,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.023358897519835595,244.4055441445625,,,,right_not_found_within_width_search_window,0.09492308905610652,245.46804758988011,,,,right_not_found_within_width_search_window,0.44976904878393287,250.47514652496895,366.3856933080287,115.91054678305974,0.48316152321050626,ok,0.8046150085117593,256.2069363177096,327.93995869819634,71.73302238048672,0.2990119304908208,ok,0.9228969950877013,258.7386537752911,309.22282061673616,50.484166841445074,0.21043820106187966,ok
3,ok,0,,480,2.000832,-0.1283234877069096,511,2.1300524,1.0217554776269595,1.150078965333869,derivative_threshold,0.9879107999999999,1.0045844,-0.1199853127391078,ok,,0.010315813743283228,ok,,1.1417407903660672,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,21.877759466606726,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.013315591173522698,481.67565747351154,,,,right_not_found_within_width_search_window,0.1016923053598642,482.98287851701457,,,,right_not_found_within_width_search_window,0.4467159949600249,487.5351716360862,604.3021774381189,116.76700580203266,0.4867315869851929,ok,0.7917396845601856,493.4566878434088,565.836046939313,72.37935909590414,0.3017061204553668,ok,0.9067475810935725,496.5212312335898,548.105837110874,51.58460587728416,0.2150252711388713,ok
4,ok,0,,716,2.9845744,-0.1278895887087466,748,3.1179632,0.9922694706144445,1.1201590593231912,derivative_threshold,0.9837424000000001,0.9879108000000003,-0.11812048521097541,ok,,0.009637020003155873,ok,,1.11038995582542,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,23.740483243050825,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.015873682776427464,718.6688148538863,,,,right_not_found_within_width_search_window,0.09614222315589166,719.8104221678741,,,,right_not_found_within_width_search_window,0.432189940952849,724.7298575394954,844.0652841019855,119.33542656249017,0.49743779208308403,ok,0.7682376587498064,731.1614029622972,807.8593927426494,76.69798978035226,0.31970790060042037,ok,0.8802535646821255,733.9762724147835,790.7851340992106,56.80886168442714,0.2368020590453661,ok
5,ok,0,,952,3.9683168,-0.1217283102488776,988,4.1183792,0.9759470258179531,1.0976753360668308,derivative_threshold,0.9837424000000001,1.0004159999999995,-0.10795817659405677,ok,,0.01002622488768912,ok,,1.08390520241201,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,21.4512158521814,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.011960776642194526,955.6239776777585,,,,right_not_found_within_width_search_window,0.09780675696448855,956.8412328075814,,,,right_not_found_within_width_search_window,0.4271093577845378,961.497280371954,1081.3129955160362,119.8157151440821,0.49943982700659184,ok,0.756411958604587,968.543398885633,1044.131469273214,75.58807038758096,0.31508131260359246,ok,0.8661794922112701,972.0660995569449,1027.449029976359,55.38293041941415,0.23085820716028596,ok
6,ok,0,,1190,4.960396,-0.11473963651018074,1225,5.10629,0.9633867893363524,1.078126425846533,derivative_threshold,0.9920792,0.9879108000000008,-0.10617800377340818,ok,,0.009214986866144644,ok,,1.0695647931097605,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,18.843899862090264,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.006926993925527425,1192.6370302212838,,,,right_not_found_within_width_search_window,0.10088564865912589,1194.0274766006971,,,,right_not_found_within_width_search_window,0.4243235764130858,1199.6547675691684,1322.795983196472,123.14121562730361,0.5133018432208524,ok,0.7477615041670458,1206.5972716592842,1286.0386756196867,79.44140396040257,0.3311435482685421,ok,0.8555741467516991,1209.3958588759901,1267.3171917083448,57.921332832354665,0.2414392837783872,ok
7,ok,0,,1428,5.9524752,-0.09773102632753054,1462,6.0942008,0.9338662323408529,1.0315972586683835,derivative_threshold,0.9920792,0.9879107999999999,-0.09445639308865805,ok,,0.011291752148279648,ok,,1.028322625429511,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,17.314415235992772,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.005428699539307816,1429.7866571976294,,,,right_not_found_within_width_search_window,0.10858842540614617,1431.3218124897867,,,,right_not_found_within_width_search_window,0.4180676030066612,1436.6321591612743,1562.3276032119898,125.69544405071542,0.5239488889810022,ok,0.7275467806071764,1444.1123020960238,1527.391427547713,83.2791254516892,0.34714070653282125,ok,0.8307065064740147,1447.6706998783725,1510.2019313818687,62.5312315034962,0.2606551853991736,ok
8,ok,0,,1664,6.9362176,-0.09686597531540404,1696,7.0696064000000005,0.9241306115355086,1.0209965868509125,derivative_threshold,0.9837423999999997,0.9754056000000002,-0.08532209974138744,ok,,0.011580011760629871,ok,,1.009452711276896,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,16.064230598101663,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.005233683369687214,1666.7232954432716,,,,right_not_found_within_width_search_window,0.10733334205477847,1668.3906514937519,,,,right_not_found_within_width_search_window,0.41363231811005224,1674.4725061419695,1800.2030619392638,125.7305557972943,0.5240952487854416,ok,0.719931294165326,1681.1055646945401,1763.3854522718461,82.279887577306,0.3429754833772423,ok,0.8220309528504173,1684.5560648656822,1746.8790020488664,62.322937183184195,0.259786931354385,ok
9,ok,0,,1901,7.9241284,-0.09733524078700184,1934,8.0616856,0.9124674031896884,1.0098026439766903,derivative_threshold,0.9879107999999999,0.9920792,-0.07224182831461433,ok,,0.012527267859638928,ok,,0.9847092315043028,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,15.329557481149417,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.0036450236106671946,1903.9912784314001,,,,right_not_found_within_width_search_window,0.10462528800833623,1905.6095546457595,,,,right_not_found_within_width_search_window,0.4075660812013433,1911.8944871398705,2039.2229867065241,127.32849956665359,0.5307561175936388,ok,0.7105068743943505,1918.6259158438877,2002.38545660668,83.75954076279231,0.3491432697156235,ok,0.8114871387920194,1922.3425386531353,1985.3713737343423,63.028835081207035,0.2627293961525034,ok
10,ok,0,,2138,8.9120392,-0.08857020621429375,2174,9.0621016,0.8903149013137883,0.9788851075280821,derivative_threshold,0.9879108000000008,1.0004159999999995,-0.06160351669116135,ok,,0.017075556781671695,ok,,0.9519184180049497,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,13.443275647199439,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.009318304538514469,2141.007512918964,,,,right_not_found_within_width_search_window,0.10720681529132269,2142.77248989556,,,,right_not_found_within_width_search_window,0.4008723475497473,2149.2284557956923,2279.4153190822126,130.1868632865203,0.5426709209235312,ok,0.6945378798081719,2156.544158423968,2244.160149744318,87.61599132035008,0.3652184982197473,ok,0.7924263905609801,2160.3634325540784,2228.223133117268,67.85970056318956,0.2828663758275994,ok
