time_s,time_index,theta_deg,velocity
6.642048,3136.0,0.0,
6.675936,3152.0,0.0,
6.709824,3168.0,0.0,
6.743712,3184.0,0.0,
6.7776000000000005,3200.0,0.0,
6.811488000000001,3216.0,0.0,
6.845376,3232.0,0.0,
6.879264,3248.0,0.0,
6.913152,3264.0,2.0,6688.7000299026495
6.94704,3280.0,0.0,
6.9809280000000005,3296.0,0.0,
7.014816000000001,3312.0,3.75,3563.659012068138
7.048704000000001,3328.0,0.0,
7.082592,3344.0,0.0,
7.11648,3360.0,0.0,
7.150368,3376.0,0.0,
7.184256,3392.0,0.0,
7.218144000000001,3408.0,0.0,
7.252032000000001,3424.0,0.0,
7.28592,3440.0,0.0,
7.319808,3456.0,0.0,
7.353696,3472.0,5.25,2541.973499257747
7.387584,3488.0,0.0,
7.421472,3504.0,0.0,
7.455360000000001,3520.0,178.0,-6688.700029902616
7.489248,3536.0,0.0,
7.523136,3552.0,0.0,
7.557024,3568.0,0.0,
7.590912,3584.0,0.0,
7.6248,3600.0,0.0,
7.658688000000001,3616.0,0.0,
7.692576000000001,3632.0,2.0,6688.7000299026495
7.726464,3648.0,0.0,
7.760352,3664.0,0.0,
7.79424,3680.0,0.0,
7.828128,3696.0,0.0,
7.862016000000001,3712.0,0.0,
7.895904000000001,3728.0,0.0,
7.929792,3744.0,0.0,
7.96368,3760.0,0.0,
7.997568,3776.0,0.0,
8.031456,3792.0,0.0,
8.065344,3808.0,0.0,
8.099232,3824.0,174.5,-2425.7644697504397
8.13312,3840.0,175.75,-3143.1252282457353
8.167008000000001,3856.0,0.0,
8.200896,3872.0,0.0,
8.234784000000001,3888.0,0.0,
8.268672,3904.0,0.0,
8.30256,3920.0,0.0,
8.336448,3936.0,0.0,
8.370336,3952.0,0.0,
8.404224000000001,3968.0,0.0,
8.438112,3984.0,0.0,
8.472,4000.0,0.0,
8.505888,4016.0,0.0,
8.539776,4032.0,0.0,
8.573664,4048.0,0.0,
8.607552,4064.0,4.0,3340.271713407543
8.641440000000001,4080.0,0.0,
8.675328,4096.0,0.0,
8.709216,4112.0,0.0,
8.743104,4128.0,0.0,
8.776992,4144.0,0.0,
8.810880000000001,4160.0,0.0,
8.844768,4176.0,0.0,
8.878656000000001,4192.0,0.0,
8.912544,4208.0,0.0,
8.946432,4224.0,0.0,
