peak_id,peak_status,peak_warning_count,peak_warnings_text,onset_index,onset_time_sec,onset_value,peak_index,peak_time_sec,peak_value,peak_amplitude,peak_detection_method,onset_to_onset_interval_sec,peak_to_peak_interval_sec,baseline_mean,baseline_mean_status,baseline_mean_reason,baseline_std,baseline_std_status,baseline_std_reason,prominence,prominence_status,prominence_reason,rise_10_90_sec,rise_10_90_sec_status,rise_10_90_sec_reason,decay_90_10_sec,decay_90_10_sec_status,decay_90_10_sec_reason,decay_time_sec,decay_time_sec_status,decay_time_sec_reason,max_rise_slope,max_rise_slope_status,max_rise_slope_reason,max_decay_slope,max_decay_slope_status,max_decay_slope_reason,auc,auc_status,auc_reason,width_10_value,width_10_left_index,width_10_right_index,width_10_points,width_10_sec,width_10_status,width_20_value,width_20_left_index,width_20_right_index,width_20_points,width_20_sec,width_20_status,width_50_value,width_50_left_index,width_50_right_index,width_50_points,width_50_sec,width_50_status,width_80_value,width_80_left_index,width_80_right_index,width_80_points,width_80_sec,width_80_status,width_90_value,width_90_left_index,width_90_right_index,width_90_points,width_90_sec,width_90_status
1,ok,0,,216,0.8658144000000001,-0.032776976346986675,266,1.0662344000000001,1.1514814740299122,1.184258450376899,derivative_threshold,,,-0.04432598752437416,ok,,0.005874172774075102,ok,,1.1958074615542864,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,21.087640412039157,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.08564886869070322,218.47619479017885,,,,right_not_found_within_width_search_window,0.20407471372839311,219.92286609089436,,,,right_not_found_within_width_search_window,0.5593522488414628,225.21479283788253,,,,right_not_found_within_width_search_window,0.9146297839545325,236.52436562383502,347.7929324915209,111.26856686768588,0.44600892343243215,ok,1.0330556289922224,246.58293253526486,322.5154066664445,75.93247413117965,0.3043677293074205,ok
2,ok,0,,710,2.8459640000000004,-0.08836282725340876,760,3.046384,0.9195915602782336,1.0079543875316423,derivative_threshold,1.9801496000000003,1.9801496,-0.10977670721564184,ok,,0.004015459306564901,ok,,1.0293682674938756,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,17.68789338794457,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.012432611499755483,711.8180082238761,,,,right_not_found_within_width_search_window,0.11322805025291972,713.2903445447107,,,,right_not_found_within_width_search_window,0.4156143665124124,719.0472135953087,,,,right_not_found_within_width_search_window,0.7180006827719052,730.2085379072323,862.5183694170214,132.3098315097891,0.5303507286238387,ok,0.8187961215250694,740.3441888811094,833.1593501711261,92.8151612900167,0.372040292514903,ok
3,ok,0,,1204,4.8261136,-0.0007244025987976518,1254,5.0265336000000005,1.0673849358592795,1.068109338458077,derivative_threshold,1.9801495999999998,1.9801496000000003,-0.013140235869721916,ok,,0.00685361048600401,ok,,1.0805251717290014,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,13.439753966710773,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.10608653124701006,1206.5789487362542,,,,right_not_found_within_width_search_window,0.21289746509281776,1208.9364304393523,,,,right_not_found_within_width_search_window,0.5333302666302409,1217.3856593074502,,,,right_not_found_within_width_search_window,0.853763068167664,1232.0608002697895,1336.0055559396287,103.9447556698392,0.41665215862698346,ok,0.9605740020134718,1239.8297415465324,1315.0325839692748,75.20284242274238,0.3014430735673206,ok
4,ok,0,,1697,6.802254800000001,-0.09972861236506907,1747,7.002674800000001,0.9659954810478302,1.0657240934128993,derivative_threshold,1.9761412000000007,1.9761412000000007,-0.10597398495792276,ok,,0.003729728503295081,ok,,1.0719694660057528,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,15.295608886375092,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.006843796976220867,1699.5806923650412,,,,right_not_found_within_width_search_window,0.1134162063175108,1701.410535969218,,,,right_not_found_within_width_search_window,0.4331334343413806,1708.3485915320875,,,,right_not_found_within_width_search_window,0.7528506623652504,1724.3728371561465,1834.7003165955462,110.32747943939967,0.4422366685848897,ok,0.8594230717065404,1732.9066239446147,1812.3274065026076,79.42078255799288,0.3183502648054587,ok
5,ok,0,,2191,8.7824044,-0.07243399844401557,2241,8.982824400000002,0.9436037291370212,1.0160377275810368,derivative_threshold,1.9801495999999998,1.9801496000000007,-0.07630709156923825,ok,,0.0052838062410055725,ok,,1.0199108207062595,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,12.205292650472282,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.029169774314088112,2193.9268704270676,,,,right_not_found_within_width_search_window,0.1307735470721918,2196.1256563748316,,,,right_not_found_within_width_search_window,0.43558486534650287,2204.0777692173224,,,,right_not_found_within_width_search_window,0.7403961836208139,2217.9060153096657,2336.53564058241,118.6296252727443,0.47551498994326835,ok,0.8419999563789177,2225.4412744549754,2314.922075013087,89.4808005581117,0.358674840957135,ok
