time_index,time_sec,sum_intensity,norm_sum_intensity,filtered_norm_sum_intensity,detrended_norm_sum_intensity,f0_baseline,df_f_signal,d_df_f_signal,is_onset,is_peak,onset_index,peak_id
0,0.0,473172.0,1637.273356401384,1637.273356401384,1637.273356401384,1188.4397929210463,0.3776662193186557,0.008577712610405,False,False,,
1,0.0040084,470977.0,1629.6782006920416,1637.273356401384,1637.3142184117758,1188.4397929210463,0.3777006022218833,-0.7886060598424578,False,False,,
2,0.0080168,474946.0,1643.4117647058824,1629.6782006920416,1629.7599246799232,1188.4397929210463,0.3713441222581107,-1.591600742493121,False,False,,
3,0.0120252,468184.0,1620.01384083045,1622.0276816608996,1622.150267593369,1188.4397929210463,0.3649410573894644,-1.005788713228462,False,False,,
4,0.0160336,468766.0,1622.0276816608996,1620.01384083045,1620.1772886746055,1188.4397929210463,0.3632809153019008,-0.5648861709026463,False,False,,
5,0.020042,467187.0,1616.5640138408305,1616.5640138408305,1616.7683235637703,1188.4397929210463,0.360412477934572,-0.7268652033099912,False,False,,
6,0.0240504,466159.0,1613.0069204152248,1613.0069204152248,1613.252091984047,1188.4397929210463,0.3574537823400053,-0.3647730837053302,False,False,,
7,0.0280588,464161.0,1606.0934256055364,1613.0069204152248,1613.2929537970274,1188.4397929210463,0.3574881650771231,-0.7170593119937507,False,False,,
8,0.0320672,466908.0,1615.598615916955,1606.0934256055364,1606.420320767403,1188.4397929210463,0.3517052612476137,-0.8572474441094968,False,False,,
9,0.0360756,463775.0,1604.757785467128,1604.757785467128,1605.125542376171,1188.4397929210463,0.3506157837671861,-0.95058514059766,False,False,,
10,0.040084,461520.0,1596.955017301038,1596.955017301038,1597.3636359243487,1188.4397929210463,0.3440846102924704,-0.849983824492476,False,False,,
11,0.0440924,461411.0,1596.5778546712802,1596.5778546712802,1597.0273349759566,1188.4397929210463,0.3438016334429948,-0.9698337830027411,False,False,,
12,0.0481008,458826.0,1587.6332179930796,1587.6332179930796,1588.1235599462198,1188.4397929210463,0.336309646820894,-1.3003291109981203,False,False,,
13,0.0521092,457807.0,1584.107266435986,1584.107266435986,1584.638470004688,1188.4397929210463,0.3333771550259451,-1.3925772624724502,False,False,,
14,0.0561176,454968.0,1574.2837370242214,1574.2837370242214,1574.8558021755834,1188.4397929210463,0.3251456334231048,-2.104776527241576,False,False,,
15,0.060126,451988.0,1563.9723183391004,1563.9723183391004,1564.5852450402206,1188.4397929210463,0.3165035825623548,-1.1249123843712496,False,False,,
