time_index,time_sec,sum_intensity,norm_sum_intensity,filtered_norm_sum_intensity,detrended_norm_sum_intensity,f0_baseline,df_f_signal,d_df_f_signal,is_onset,is_peak,onset_index,peak_id
0,0.0,261706.0,1576.5421686746988,1576.5421686746988,1576.5421686746988,1437.775247176687,0.0965150302667293,0.0465442064150352,True,False,0.0,1.0
1,0.0027688,264464.0,1593.1566265060242,1576.5421686746988,1576.727457069405,1437.775247176687,0.0966439018654512,0.1622960615027793,False,False,,
2,0.0055376,263159.0,1585.2951807228917,1577.4638554216867,1577.834341386159,1437.775247176687,0.0974137609369071,0.4482766067485677,False,False,,
3,0.0083064,259729.0,1564.632530120482,1579.7409638554218,1580.2965566092394,1437.775247176687,0.0991262784029821,0.3324905457709342,False,False,,
4,0.0110752,264057.0,1590.7048192771083,1579.7409638554218,1580.4815726626637,1437.775247176687,0.0992549605831682,0.057057120691212,False,False,,
5,0.013844,264549.0,1593.6686746987953,1579.8253012048192,1580.7508353740411,1437.775247176687,0.0994422379145218,0.0570343447006145,False,False,,
6,0.0166128,262701.0,1582.5361445783133,1579.8253012048192,1580.935670089032,1437.775247176687,0.0995707939703823,0.0464188630313664,False,False,,
7,0.0193816,264929.0,1595.9578313253012,1579.8253012048192,1581.1204142014676,1437.775247176687,0.0996992870104442,0.046396109364057,False,False,,
8,0.0221504,263955.0,1590.0903614457832,1579.8253012048192,1581.3050677557594,1437.775247176687,0.0998277170655967,0.0357806500071404,False,False,,
9,0.0249192,261859.0,1577.4638554216867,1579.7409638554218,1581.4052934468998,1437.775247176687,0.0998974259379238,-0.159450720323548,False,True,0.0,1.0
10,0.027688,262237.0,1579.7409638554218,1578.186746987952,1580.0355491505825,1437.775247176687,0.0989447427567331,-0.1488807237039431,False,False,,
11,0.0304568,261870.0,1577.5301204819275,1578.186746987952,1580.2199312966952,1437.775247176687,0.0990729840423408,0.0463052061743987,False,False,,
12,0.0332256,262251.0,1579.8253012048192,1578.186746987952,1580.4042230620937,1437.775247176687,0.0992011624664444,-0.0361893586299046,False,False,,
13,0.0359944,260669.0,1570.2951807228917,1577.5301204819275,1579.931797985056,1437.775247176687,0.0988725818499919,-0.0445348944067234,False,False,,
14,0.0387632,261325.0,1574.2469879518071,1577.4638554216867,1580.0496440616712,1437.775247176687,0.0989545460351777,-0.366122188564443,False,False,,
15,0.041532,261979.0,1578.186746987952,1574.2469879518071,1577.0167974807773,1437.775247176687,0.0968451436185974,-0.6922492073968698,False,False,,
16,0.0443008,259427.0,1562.813253012048,1571.5843373493976,1574.53807756372,1437.775247176687,0.0951211468242968,-0.4501526187531439,False,False,,
17,0.0470696,257738.0,1552.6385542168675,1570.2951807228917,1573.4327614631493,1437.775247176687,0.09435237847699,-0.4418524121837421,False,False,,
18,0.0498384,259683.0,1564.355421686747,1567.698795180723,1571.020126331694,1437.775247176687,0.0926743449065881,-0.2799578002912781,False,False,,
