peak_id,peak_status,peak_warning_count,peak_warnings_text,onset_index,onset_time_sec,onset_value,peak_index,peak_time_sec,peak_value,peak_amplitude,peak_detection_method,onset_to_onset_interval_sec,peak_to_peak_interval_sec,baseline_mean,baseline_mean_status,baseline_mean_reason,baseline_std,baseline_std_status,baseline_std_reason,prominence,prominence_status,prominence_reason,rise_10_90_sec,rise_10_90_sec_status,rise_10_90_sec_reason,decay_90_10_sec,decay_90_10_sec_status,decay_90_10_sec_reason,decay_time_sec,decay_time_sec_status,decay_time_sec_reason,max_rise_slope,max_rise_slope_status,max_rise_slope_reason,max_decay_slope,max_decay_slope_status,max_decay_slope_reason,auc,auc_status,auc_reason,width_10_value,width_10_left_index,width_10_right_index,width_10_points,width_10_sec,width_10_status,width_20_value,width_20_left_index,width_20_right_index,width_20_points,width_20_sec,width_20_status,width_50_value,width_50_left_index,width_50_right_index,width_50_points,width_50_sec,width_50_status,width_80_value,width_80_left_index,width_80_right_index,width_80_points,width_80_sec,width_80_status,width_90_value,width_90_left_index,width_90_right_index,width_90_points,width_90_sec,width_90_status
1,ok,0,,0,0.0,0.09651503026672932,9,0.024919200000000002,0.0998974259379238,0.0033823956711944853,absolute_threshold,,,,failed,insufficient_baseline_samples,,failed,insufficient_baseline_samples,,failed,baseline_mean_unavailable,0.012841006760544721,ok,,0.015619101892466573,ok,,0.015619101892466573,ok,,0.44827660674856773,ok,,-0.6922492073968698,ok,,9.620963585183235e-05,ok,,0.09685326983384877,1.2719562270034417,14.996147622100244,13.724191395096803,0.037999541134744026,ok,0.09719150940096821,1.7113088041963196,14.835799096631225,13.124490292434906,0.03633908872169377,ok,0.09820622810232657,2.462749829486845,14.35475352022415,11.892003690737305,0.03292657981891345,ok,0.09922094680368491,3.735676070811577,9.710077754698466,5.974401683886889,0.01654192338234602,ok,0.09955918637080435,5.909707874123031,9.35503887734924,3.44533100322621,0.00953943248173273,ok
2,ok,0,,284,0.7863392,-0.00884631096471085,338,0.9358544,0.09926254950416877,0.10810886046887962,absolute_threshold,0.7863392,0.9109352,-0.026168668609070637,ok,,0.005689713715477682,ok,,0.1254312181132394,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,2.479078940512216,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.001964575082177112,284.94177659448195,,,,right_not_found_within_width_search_window,0.012775461129065075,288.67013452579374,517.8943602472393,229.22422572144558,0.6346760361775385,ok,0.04520811926972896,302.48600716174496,448.60891518912985,146.12290802738488,0.40458510774622325,ok,0.07764077741039285,318.02837970498194,395.37017870742085,77.3417990024389,0.21414397307795285,ok,0.08845166345728081,328.8817147525286,380.4292786481731,51.547563895644544,0.14272489491426063,ok
3,ok,0,,628,1.7388064,-0.009809968950105495,682,1.8883216,0.08233802952624417,0.09214799847634966,absolute_threshold,0.9524672000000001,0.9524672000000001,-0.02140333089954884,ok,,0.0028540619055347307,ok,,0.103741360425793,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,2.158463378370959,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.0005951691024705281,634.5177514084896,,,,right_not_found_within_width_search_window,0.008619630745164438,639.681743897496,,,,right_not_found_within_width_search_window,0.036264030288069335,650.1617686526114,789.7705835676545,139.60881491504313,0.3865488867367714,ok,0.06390842983097424,667.9669170782436,763.0863404002451,95.11942332200158,0.26336665929395797,ok,0.07312322967860921,672.9398375562829,747.1611202427857,74.22128268650283,0.20550388750238904,ok
4,ok,0,,975,2.69958,-0.006758910920047399,1029,2.8490952000000003,0.09132812870804809,0.09808703962809548,absolute_threshold,0.9607736,0.9607736000000002,-0.014202299185735009,ok,,0.0031204038146942703,ok,,0.1055304278937831,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,1.51026068239033,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.00304979304276215,979.9909532462561,,,,right_not_found_within_width_search_window,0.0128584970055717,984.205465743825,,,,right_not_found_within_width_search_window,0.04228460889400034,997.1159594970553,1175.4783715532576,178.3624120562023,0.4938498465012129,ok,0.07171072078242899,1011.6978358252825,1111.6401579540834,99.94232212880092,0.27672030151022403,ok,0.08151942474523854,1018.2337136572926,1096.206125335256,77.97241167796346,0.21589001345394523,ok
5,ok,0,,1324,3.6658912,-0.0036267553324994153,1378,3.8154064,0.08836455941303006,0.09199131474552948,absolute_threshold,0.9663111999999998,0.9663111999999998,-0.011075272690183317,ok,,0.004265709406173955,ok,,0.09943983210321339,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,2.126091436652464,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.0055723761420535325,1327.4922802051562,,,,right_not_found_within_width_search_window,0.01477150761660648,1334.0869826049707,,,,right_not_found_within_width_search_window,0.042368902040265326,1344.5241750387268,1520.6493126664398,176.125137627713,0.4876552810636118,ok,0.06996629646392417,1358.8668119435504,1458.823503738963,99.95669179541255,0.2767600882431383,ok,0.07916542793847711,1368.9809123244281,1448.1617802279789,79.18086790355073,0.21923598705135128,ok
6,ok,0,,1674,4.6349712,-0.006514425958792894,1728,4.7844864000000005,0.0811567900550159,0.0876712160138088,absolute_threshold,0.9690799999999999,0.9690800000000004,-0.009397812422853244,ok,,0.0036415845926568453,ok,,0.09055460247786914,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,1.72814602486079,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.002252695642587986,1677.1233483394467,,,,right_not_found_within_width_search_window,0.011019817243968867,1678.9374670953553,,,,right_not_found_within_width_search_window,0.0373211820481115,1691.3025942276336,1858.9249865134393,167.62239228580574,0.46411287976093896,ok,0.06362254685225414,1711.3260939373038,1813.4460091292058,102.11991519190201,0.2827496211833383,ok,0.07238966845363502,1716.6106431680353,1810.125432022903,93.51478885486767,0.25892374738135765,ok
7,ok,0,,2027,5.6123576,-0.005836638851053997,2081,5.7618728,0.07729831205351047,0.08313495090456446,absolute_threshold,0.9773864000000003,0.9773863999999994,-0.020686106174855487,ok,,0.0032476418599138635,ok,,0.09798441822836595,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,1.6454507965394591,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.0024768562394024496,2031.519578064241,,,,right_not_found_within_width_search_window,0.010790351329858897,2033.9872171632253,,,,right_not_found_within_width_search_window,0.035730836601228236,2046.3835834048252,2212.738420296125,166.35483689129956,0.4606032723846302,ok,0.06067132187259758,2065.524328442154,2157.619102303293,92.09477386113895,0.25499200986672155,ok,0.06898481696305403,2071.670840728384,2138.466385413232,66.79554468484775,0.18494350412340646,ok
8,ok,0,,2373,6.5703624000000005,-0.008446452602572532,2427,6.7198776,0.07888384381489345,0.08733029641746598,absolute_threshold,0.9580048000000003,0.9580048000000003,-0.014427527487379624,ok,,0.003454600380990677,ok,,0.09331137130227307,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,1.7986029880526613,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,0.00028657703917406643,2375.7079655685156,,,,right_not_found_within_width_search_window,0.009019606680920665,2380.6356755451848,,,,right_not_found_within_width_search_window,0.035218695606160456,2394.3109830866542,,,,right_not_found_within_width_search_window,0.06141778453140025,2409.64974807093,,,,right_not_found_within_width_search_window,0.07015081417314686,2418.8799924948453,2490.690615667789,71.8106231729439,0.1988292534412471,ok
