time_index,time_sec,sum_intensity,norm_sum_intensity,filtered_norm_sum_intensity,detrended_norm_sum_intensity,f0_baseline,df_f_signal,d_df_f_signal,is_onset,is_peak,onset_index,peak_id
0,0.0,164319.0,1026.99375,1026.99375,1026.99375,976.0755582703111,0.0521662398963459,3.7495766155946374e-08,True,False,0.0,1.0
1,0.0027088,165177.0,1032.35625,1026.99375,1026.9937500991389,976.0755582703111,0.0521662399979144,0.1879259932519339,False,False,,
2,0.0054176,165804.0,1036.275,1027.9875,1027.9875001988455,976.0755582703111,0.0531843477573876,0.4881347528056476,False,False,,
3,0.0081263999999999,164732.0,1029.575,1029.575,1029.5750002991244,976.0755582703111,0.0548107588347143,0.8261650883402183,False,False,,
4,0.0108352,166019.0,1037.61875,1032.35625,1032.3562503999783,976.0755582703111,0.0576601797399795,0.6358752844109432,False,False,,
5,0.013544,165270.0,1032.9375,1032.9375,1032.9375005014103,976.0755582703111,0.058255676775539,0.1347394029005535,False,False,,
6,0.0162527999999999,164478.0,1027.9875,1033.06875,1033.0687506034242,976.0755582703111,0.0583901439291336,0.3522134650038744,False,False,,
7,0.0189616,163639.0,1022.74375,1034.8,1034.8000007060227,976.0755582703111,0.060163828443544,0.4680420416633133,False,False,,
8,0.0216704,166996.0,1043.725,1035.54375,1035.54375080921,976.0755582703111,0.0609258084940487,0.278934161988456,False,False,,
9,0.0243792,166892.0,1043.075,1036.275,1036.2750009129886,976.0755582703111,0.0616749821595326,3.936326109510446e-08,False,False,,
10,0.027088,166824.0,1042.65,1035.54375,1035.5437510173624,976.0755582703111,0.0609258087073031,0.2541137532019633,False,False,,
11,0.0297968,167860.0,1049.125,1037.61875,1037.6187511223347,976.0755582703111,0.0630516688288796,0.9715417727920652,False,False,,
12,0.0325055999999999,165568.0,1034.8,1040.68125,1040.681251227909,976.0755582703111,0.0661892334155814,0.9514490607812558,False,False,,
13,0.0352144,165291.0,1033.06875,1042.65,1042.6500013340888,976.0755582703111,0.0682062392605681,0.4526770277798757,False,False,,
14,0.0379232,167425.0,1046.40625,1043.075,1043.0750014408773,976.0755582703111,0.0686416564812817,0.2032910113951977,False,False,,
15,0.040632,165687.0,1035.54375,1043.725,1043.7250015482778,976.0755582703111,0.0693075886439027,4.073713810726076e-08,False,False,,
16,0.0433408,167034.0,1043.9625,1043.075,1043.0750016562947,976.0755582703111,0.0686416567019792,-0.2032909299195875,False,False,,
17,0.0460495999999999,165467.0,1034.16875,1042.65,1042.6500017649307,976.0755582703111,0.0682062397019704,-0.4526769463001834,False,False,,
18,0.0487584,166509.0,1040.68125,1040.68125,1040.68125187419,976.0755582703111,0.0661892340777033,-0.3723060971072556,False,False,,
19,0.0514672,167438.0,1046.4875,1040.68125,1040.6812519840753,976.0755582703111,0.0661892341902821,0.5850525451140633,False,False,,
20,0.054176,168125.0,1050.78125,1043.775,1043.775002094591,976.0755582703111,0.0693588147461133,0.5850525453530881,False,False,,
21,0.0568848,167004.0,1043.775,1043.775,1043.7750022057403,976.0755582703111,0.069358814859987,4.2158958990512474e-08,False,False,,
22,0.0595936,167444.0,1046.525,1043.775,1043.775002317527,976.0755582703111,0.0693588149745137,0.0354577698815745,False,False,,
23,0.0623024,165268.0,1032.925,1043.9625,1043.9625024299546,976.0755582703111,0.0695509108740974,0.5129551668671972,False,False,,
24,0.0650111999999999,166381.0,1039.88125,1046.4875,1046.487502543027,976.0755582703111,0.0721378008865334,0.4774974396308522,False,False,,
25,0.06772,166089.0,1038.05625,1046.4875,1046.4875026567477,976.0755582703111,0.0721378010030415,0.0070915886304874,False,False,,
26,0.0704288,167883.0,1049.26875,1046.525,1046.5250027711206,976.0755582703111,0.0721762202770979,0.0626420285978213,False,False,,
27,0.0731376,167596.0,1047.475,1046.81875,1046.818752886149,976.0755582703111,0.0724771704571731,0.055550483350407,False,False,,
28,0.0758464,166685.0,1041.78125,1046.81875,1046.8187530018374,976.0755582703111,0.0724771705756971,4.38806040392592e-08,False,False,,
29,0.0785551999999999,167655.0,1047.84375,1046.81875,1046.818753118189,976.0755582703111,0.0724771706949006,0.1241020903153025,False,False,,
30,0.081264,168191.0,1051.19375,1047.475,1047.475003235208,976.0755582703111,0.0731495060601893,0.124102090568348,False,False,,
31,0.0839728,167491.0,1046.81875,1047.475,1047.4750033528978,976.0755582703111,0.0731495061807637,4.463973724000425e-08,False,False,,
32,0.0866816,167270.0,1045.4375,1047.475,1047.4750034712624,976.0755582703111,0.0731495063020295,0.0413673936234406,False,False,,
33,0.0893904,167683.0,1048.01875,1047.69375,1047.693753590306,976.0755582703111,0.0733736181724581,0.0413673938809129,False,False,,
34,0.0920991999999999,167631.0,1047.69375,1047.69375,1047.693753710032,976.0755582703111,0.0733736182951188,4.5412111404630195e-08,False,False,,
35,0.094808,169017.0,1056.35625,1047.69375,1047.6937538304446,976.0755582703111,0.0733736184184827,0.0283662276572318,False,False,,
36,0.0975168,167346.0,1045.9125,1047.84375,1047.8437539515478,976.0755582703111,0.0735272951700746,0.0614601069012756,False,False,,
37,0.1002256,168054.0,1050.3375,1048.01875,1048.0187540733452,976.0755582703111,0.0737065846936311,0.033093925179962,False,False,,
38,0.1029344,166743.0,1042.14375,1048.01875,1048.0187541958412,976.0755582703111,0.0737065848191295,0.438493942976244,False,False,,
39,0.1056431999999999,166544.0,1040.9,1050.3375,1050.3375043190397,976.0755582703111,0.0760821694790992,0.7836158240565467,False,False,,
40,0.108352,169471.0,1059.19375,1052.1625,1052.1625044429445,976.0755582703111,0.0779519019075383,0.4373120192612738,False,False,,
41,0.1110608,169526.0,1059.5375,1052.65,1052.6500045675596,976.0755582703111,0.0784513510746491,0.6890618846450174,False,False,,
42,0.1137696,167565.0,1047.28125,1055.80625,1055.8062546928895,976.0755582703111,0.0816849635737911,0.5968717934657182,False,False,,
43,0.1164784,168424.0,1052.65,1055.80625,1055.8062548189378,976.0755582703111,0.0816849637029289,0.1347394122375185,False,False,,
44,0.1191872,168346.0,1052.1625,1056.51875,1056.5187549457091,976.0755582703111,0.0824149278135291,0.1749248369900193,False,False,,
45,0.1218959999999999,169490.0,1059.3125,1056.73125,1056.7312550732072,976.0755582703111,0.0826326364998061,0.0401854728383668,False,False,,
46,0.1246048,168929.0,1055.80625,1056.73125,1056.7312552014364,976.0755582703111,0.0826326366311783,4.86374052144356e-08,False,False,,
47,0.1273136,169607.0,1060.04375,1056.73125,1056.7312553304012,976.0755582703111,0.0826326367633041,-0.0401853755620109,False,False,,
48,0.1300223999999999,169320.0,1058.25,1056.51875,1056.5187554601052,976.0755582703111,0.0824149283405335,-0.040185375281581,False,False,,
49,0.1327312,169043.0,1056.51875,1056.51875,1056.518755590553,976.0755582703111,0.0824149284741786,4.947883525119323e-08,False,False,,
50,0.13544,169663.0,1060.39375,1056.51875,1056.518755721749,976.0755582703111,0.08241492860859,4.976258338729168e-08,False,False,,
