peak_id,peak_status,peak_warning_count,peak_warnings_text,onset_index,onset_time_sec,onset_value,peak_index,peak_time_sec,peak_value,peak_amplitude,peak_detection_method,onset_to_onset_interval_sec,peak_to_peak_interval_sec,baseline_mean,baseline_mean_status,baseline_mean_reason,baseline_std,baseline_std_status,baseline_std_reason,prominence,prominence_status,prominence_reason,rise_10_90_sec,rise_10_90_sec_status,rise_10_90_sec_reason,decay_90_10_sec,decay_90_10_sec_status,decay_90_10_sec_reason,decay_time_sec,decay_time_sec_status,decay_time_sec_reason,max_rise_slope,max_rise_slope_status,max_rise_slope_reason,max_decay_slope,max_decay_slope_status,max_decay_slope_reason,auc,auc_status,auc_reason,width_10_value,width_10_left_index,width_10_right_index,width_10_points,width_10_sec,width_10_status,width_20_value,width_20_left_index,width_20_right_index,width_20_points,width_20_sec,width_20_status,width_50_value,width_50_left_index,width_50_right_index,width_50_points,width_50_sec,width_50_status,width_80_value,width_80_left_index,width_80_right_index,width_80_points,width_80_sec,width_80_status,width_90_value,width_90_left_index,width_90_right_index,width_90_points,width_90_sec,width_90_status
1,ok,0,,202,0.946976,-0.056023966190503025,351,1.645488,0.22472334719418996,0.280747313384693,derivative_threshold,,,-0.05496844602003209,ok,,0.004348639880564089,ok,,0.27969179321422205,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,2.349814475575878,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.027949234852033725,205.0386790718418,,,,right_not_found_within_width_search_window,0.0001254964864355751,210.54257483870063,,,,right_not_found_within_width_search_window,0.08434969050184347,232.9441281787059,485.87075701006347,252.92662883135756,1.1857200359614044,ok,0.16857388451725136,273.3706007920881,426.9747137252633,153.6041129331752,0.7200960814307253,ok,0.1966486158557207,301.56891665234104,403.3591712683743,101.79025461603328,0.4771927136399641,ok
2,ok,0,,615,2.8831200000000003,-0.061212994933516444,763,3.576944,0.22807320906113795,0.2892862039946544,derivative_threshold,1.9361440000000003,1.931456,-0.063948818886003,ok,,0.004541566529177017,ok,,0.29202202794714094,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,2.0514204187559097,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.032284374534051,619.0435530228953,,,,right_not_found_within_width_search_window,-0.0033557541345855674,623.7119490677883,,,,right_not_found_within_width_search_window,0.08343010706381074,647.0378991512345,906.6150978732883,259.5771987220538,1.2168979076089883,ok,0.17021596826220706,689.7152078287636,846.515003170238,156.79979534147435,0.7350774405608318,ok,0.1991445886616725,716.522503252497,822.8702844287141,106.34778117621704,0.4985583981541055,ok
3,ok,0,,1028,4.819264,-0.05319951495571144,1177,5.5177760000000005,0.20981354865474308,0.2630130636104545,derivative_threshold,1.936144,1.9408320000000003,-0.05840473003265689,ok,,0.004615811552119374,ok,,0.2682182786874,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,2.364251774807091,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.026898208594665983,1031.3129916084297,,,,right_not_found_within_width_search_window,-0.000596902233620529,1036.8182205473684,,,,right_not_found_within_width_search_window,0.07830701684951583,1062.3272178377974,1314.333705283044,252.00648744524665,1.1814064131433164,ok,0.1572109359326522,1110.66022959838,1265.8049294176205,155.1446998192405,0.7273183527525995,ok,0.18351224229369764,1133.0777444392832,1234.2299005427096,101.15215610342648,0.47420130781286335,ok
4,ok,0,,1440,6.75072,-0.06780874389806422,1589,7.449232,0.20532212150484852,0.27313086540291276,derivative_threshold,1.9314559999999998,1.9314559999999998,-0.06571995384369875,ok,,0.00533639327370014,ok,,0.2710420753485473,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,2.1446864618970336,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.04049565735777295,1443.3927688245108,,,,right_not_found_within_width_search_window,-0.01318257081748167,1449.113321137233,,,,right_not_found_within_width_search_window,0.06875668880339215,1475.9940702982556,1738.5302698111254,262.53619951286987,1.230769703316334,ok,0.15069594842426598,1524.2444357218635,1682.4792568058372,158.23482108397366,0.7418048412416686,ok,0.17800903496455728,1551.4504534634973,1653.729024401555,102.27857093805778,0.4794819405576149,ok
5,ok,0,,1854,8.691552,-0.04997190070430997,2000,9.376000000000001,0.1951605850048096,0.24513248570911955,derivative_threshold,1.9408319999999994,1.926768000000001,-0.06169718289922466,ok,,0.0048619191608670655,ok,,0.25685776790403425,ok,,,failed,left_10_or_left_90_unavailable,,failed,right_90_or_right_10_unavailable,,failed,right_90_or_right_10_unavailable,2.389633702804182,ok,,,failed,right_10_crossing_unavailable,,failed,left_10_or_right_10_unavailable,-0.025458652133398013,1858.522134122946,,,,right_not_found_within_width_search_window,-0.0009454035624860552,1864.9871407881726,,,,right_not_found_within_width_search_window,0.0725943421502498,1891.5180941423123,2147.777640375803,256.2595462334907,1.2013447527426044,ok,0.1461340878629857,1934.9034070318037,2098.7335091347823,163.83010210297857,0.7680355186587636,ok,0.17064733643389762,1958.7574521716685,2076.6772935453364,117.91984137366785,0.552808216359755,ok
